age,age_onset,birthplace,filename,,male,61,usa,FALSE,english,578,
24,12,"koussi, senegal",balanta,,female,62,usa,FALSE,english,578,
18,10,"buea, cameroon",cameroon,,female,63,usa,FALSE,english,578,
48,8,"hong, adamawa, nigeria",fulfulde,,female,64,canada,FALSE,english,578,
42,42,"port-au-prince, haiti",haitian,,male,65,usa,FALSE,english,578,
40,35,"port-au-prince, haiti",haitian,,male,66,usa,FALSE,english,578,
43,41,"port-au-prince, haiti",haitian,,female,67,usa,FALSE,english,578,
21,21,"port-au-prince, haiti",haitian,,male,407,canada,FALSE,english,578,
54,51,"port-au-prince, haiti",haitian,,female,408,usa,FALSE,english,578,
18,16,"ouanaminthe, haiti",haitian,,male,416,usa,FALSE,english,578,
73,5,"pepeekeo, hawai'i, usa",hawai'i,,male,419,uk,FALSE,english,578,
69,4,"pa'ia, hawai'i, usa",hawai'i,,female,420,usa,FALSE,english,578,
69,7,"cave valley, jamaica",jamaican,,female,68,uk,FALSE,english,578,
21,6,"kingston, jamaica",jamaican,,male,421,uk,FALSE,english,578,
19,3,"montego bay, jamaica",jamaican,,male,426,india,FALSE,english,578,
28,14,"monrovia, liberia",liberian,,male,427,us virgin islands,FALSE,english,578,
38,5,"monrovia, liberia",liberian,,male,439,uk,FALSE,english,578,
50,16,"waspam, rio coco, nicaragua",nicaragua,,female,442,usa,FALSE,english,578,
20,8,"bilwi, puerto cabezas, nicaragua",nicaragua,,male,443,uk,FALSE,english,578,
37,24,"bilwi, puerto cabezas, nicaragua",nicaragua,,male,444,usa,FALSE,english,578,
36,6,"polokwane, limpopo, south africa",northern,,female,445,usa,FALSE,english,578,
25,5,"jammu, kashmir, india",poonchi1,,male,446,usa,FALSE,english,578,
28,11,"colombo, sri lanka",sinhalese2,,female,455,canada,FALSE,english,578,
25,8,"colombo, sri lanka",sinhalese3,,female,69,uk,FALSE,english,578,
40,15,"katunayake, sri lanka",sinhalese4,,male,456,canada,FALSE,english,578,
26,13,"colombo, sri lanka",sinhalese5,,male,465,usa,FALSE,english,578,
21,10,"eischoll, switzerland",swiss,,female,468,malaysia,FALSE,english,578,
42,14,"winterthur, switzerland",swiss,,female,469,usa,FALSE,english,578,
30,13,"muri, aargau, switzerland",swiss,,male,480,usa,FALSE,english,578,
24,14,"bern, switzerland",swiss,,male,485,australia,FALSE,english,578,
34,8,"uster, switzerland",swiss,,female,487,usa,FALSE,english,578,
37,25,"baucau, timor-leste",tetun-dili1,,male,489,usa,FALSE,english,578,
38,4,"madang, madang province, papua new guinea",tok,,female,490,usa,FALSE,english,578,
27,9,"virginia, south africa",afrikaans1,,male,492,uk,FALSE,english,578,
40,5,"pretoria, south africa",afrikaans2,,male,70,uk,FALSE,english,578,
43,4,"pretoria, transvaal, south africa",afrikaans3,,male,496,south africa,FALSE,english,578,
26,8,"pretoria, south africa",afrikaans4,,male,497,usa,FALSE,english,578,
19,6,"cape town, south africa",afrikaans5,,female,503,canada,FALSE,english,578,
25,15,"diekabo, ivory coast",agni1,,female,504,usa,FALSE,english,578,
41,5,"accra, ghana",akan1,,female,506,uk,FALSE,english,578,
19,6,"prishtina, kosovo",albanian1,,male,507,usa,FALSE,english,578,
33,15,"tirana, albania",albanian2,,male,508,canada,FALSE,english,578,
44,35,"tirana, albania",albanian3,,male,509,usa,FALSE,english,578,
33,28,"mitrovice, kosovo",albanian4,,female,510,usa,FALSE,english,578,
31,11,"vlore, albania",albanian5,,male,511,usa,FALSE,english,578,
25,11,"prishtina, kosovo",albanian6,,male,71,uk,FALSE,english,578,
45,11,"prishtina, kosovo",albanian7,,male,515,philippines,FALSE,english,578,
43,9,"prishtina, kosovo",albanian8,,male,516,uk,FALSE,english,578,
22,6,"tirana, albania",albanian9,,male,517,usa,FALSE,english,578,
37,32,"tata, morocco",amazigh1,,male,518,usa,FALSE,english,578,
39,16,"ouarzazat, morocco",amazigh2,,male,519,canada,FALSE,english,578,
20,5,"addis ababa, ethiopia",amharic1,,male,521,uk,FALSE,english,578,
29,19,"gonder, ethiopia",amharic10,,male,522,usa,FALSE,english,578,
24,17,"addis ababa, ethiopia",amharic11,,female,523,usa,FALSE,english,578,
26,15,"addis ababa, ethiopia",amharic12,,male,525,australia,FALSE,english,578,
28,6,"addis ababa, ethiopia",amharic13,,male,526,usa,FALSE,english,578,
